sch98v1,prs,t1,elg98,p1,mk96_s,Y98sap1,Y98sap2,Y98sap3,Y98sap4,Istd1,Istd2,Istd3,Istd4,Istd5,Istd6,Istd7,Istd8,Istd9,Isem1,Isem2,Isem3,pop1_3km_updated,pop2_3km_updated,pop1_36k_updated,pop2_36k_updated,popT_36k_updated,popT_3km_updated,wgrp,obs,treatment,control,matched_out,_pscore,_treated,_support,_weight,_prs,_id,_n1,_nn,_pdif,treat_effect,sap_any,pop_3km_pctile,incl_prob1,incl_prob1_alt,incl_prob2
211,.92422503,0,.84375,.6731081,-.23936729,0,0,0,0,0,.072916664,.18402778,.1388889,.125,.12152778,.10069445,.069444448,.10763889,.24729939,.088734567,0,1265.0491,14.69697,563.17163,1250.042,2320.2493,1745.9827,3,871,0,1,.94498163,.7132580719509229,Treated,On support,1,.9449816346168518,40,22,1,.0011695584309248,.020756602,0,1164.6685,.69999999,.89999998,.16470589
140,.76110125,0,.89213485,.36963043,.21536191,0,.77777779,0,0,.042696629,.098876402,.11460674,.14382023,.13033707,.14157303,.078651689,.094382025,.092134833,.47166044,.090636708,0,751.37891,708.61902,1115.7148,1463.1136,4340.584,2286.437,3,2252,0,1,.61636829,.5476927457545948,Treated,On support,1,.616368293762207,34,20,1,.0014257568321234,-.14473295,1,1164.6685,.69999999,.89999998,.89999998
205,.76771927,0,.90270936,.69758427,.17876194,0,0,0,0,.0024630541,.11206897,.15270936,.16009852,.12438424,.13916256,.12192118,.091133006,.05172414,.30254516,.087438427,0,668.32239,2385.3345,555.72302,556.23779,1941.8235,3053.657,3,2850,0,1,.82798004,.4274005872921637,Treated,On support,1,.8279800415039063,30,15,1,.0028131288858352,.060260773,0,1164.6685,.69999999,.89999998,.16470589
274,.88467872,1,.8810811,.49386689,-.0065807221,0,0,0,0,.0054054055,.10810811,.11891892,.17837837,.14594595,.091891892,.11351351,.081081077,.075675674,.27747747,.087087087,0,0,0,955.39899,743.02692,2997.5273,208.7699,1,607,1,0,.93514544,.0893673449394897,Untreated,On support,,,6,,0,,-.050466716,0,1358.0432,.2,.06666667,.20555556
288,.89214253,1,.88639551,.49246365,.24768499,0,0,0,0,.009817672,.06171108,.17671809,.12342216,.13604487,.11640954,.11781206,.10518934,.086956523,.23437743,.084930651,0,0,0,2877.2825,1894.3049,6275.6489,208.7699,1,2049,1,0,.95498395,.5601187724700722,Untreated,On support,4,,21,,0,,-.062841415,0,1358.0432,.2,.06666667,.20555556
206,.840976,1,.88348085,.68548733,-.28057492,0,0,0,0,.005899705,.063421831,.15781711,.1238938,.1519174,.14749263,.1179941,.10029498,.097345136,.29727957,.092264831,0,0,14.69697,2174.9468,528.23352,4067.7085,234.07198,1,2377,1,0,.93514544,.0334713927556441,Untreated,On support,,,4,,0,,-.094169438,0,1358.0432,.2,.06666667,.20555556
297,.96515149,1,.85892856,.49189609,-.13363193,0,0,0,0,.0017857143,.087499999,.15000001,.13392857,.125,.12321428,.10357143,.11428571,.1,.30555555,.08730159,0,0,0,671.95044,1385.5718,2586.5249,338.96509,1,1980,1,0,.73839283,.7722125980273352,Untreated,On support,1,,24,,0,,.22675866,0,1358.0432,.2,.06666667,.20555556
219,.82798004,1,.8605898,.48633057,-.23586564,0,0,0,0,.0026809652,.096514747,.16621985,.15549597,.12332439,.12332439,.10187668,.099195711,.077747986,.32588622,.091450699,0,0,514.23352,1583.9749,607.42664,3911.3501,514.23352,1,1401,1,0,.76771927,.4245874584063285,Untreated,On support,2,,15,,0,,.060260773,0,1358.0432,.2,.06666667,.20555556
267,.93075359,1,.90256411,.27395943,.096790791,0,0,0,0,0,.18974359,.16923077,.17435898,.13846155,.061538462,.071794875,.06666667,.056410257,.19715099,.082621083,0,714.19189,0,2231.2263,1320.7209,4628.1445,714.19189,1,491,1,0,.80611485,.4835755042824011,Untreated,On support,1,,17,,0,,.12463874,0,1358.0432,.2,.06666667,.20555556
216,.94498163,1,.87515008,.47545475,.52786726,0,0,0,0,.0012004802,.067226894,.16086435,.12845138,.11644658,.14285715,.10804322,.092436977,.14165667,.30798987,.092036813,0,203.6494,514.23352,997.79065,505.8725,1672.0959,717.88293,1,2999,1,0,.92422503,.7144276303818478,Untreated,On support,1,,22,,0,,.020756602,0,1358.0432,.2,.06666667,.20555556
220,.72111958,1,.90874523,.48832127,-1.0960433,0,0,0,0,.011406844,.10076046,.18631178,.15969582,.11977186,.11596958,.093155891,.070342205,.093155891,.32213771,.092944659,0,376.59109,0,0,2011.7992,3524.1755,767.84729,1,1965,1,0,.93514544,.099420064085247,Untreated,On support,,,7,,0,,-.21402586,0,1358.0432,.2,.06666667,.20555556
210,.84011394,1,.86407769,.678855,-.53086257,0,0,0,0,0,.052704576,.14563107,.1331484,.13037448,.17198336,.11650486,.095700413,.099861301,.29141626,.087378643,0,197.7907,14.69697,802.62946,2013.355,3913.3918,898.09924,1,2458,1,0,.76110125,.5286653013795994,Untreated,On support,,,19,,0,,.079012692,0,1358.0432,.2,.06666667,.20555556
265,.96020871,1,.89411765,.27512535,.02855086,0,0,0,0,.0070588235,.11529412,.1717647,.13176471,.14117648,.13882352,.089411765,.07764706,.079999998,.30797386,.092810459,0,679.83423,270.12799,1218.8862,1908.552,4665.186,949.96222,1,1533,1,0,.80611485,.4848040671439071,Untreated,On support,2,,18,,0,,.15409386,0,1358.0432,.2,.06666667,.20555556
290,.94063401,1,.83203125,.27578506,.43468302,0,0,0,0,.00390625,.056640625,.16210938,.14453125,.13671875,.12695313,.12695313,.09765625,.07421875,.28841147,.088107638,0,417.70789,584.62341,2261.9146,736.09753,4169.1958,1002.3313,1,1735,1,0,.92422503,.7389667479446028,Untreated,On support,,,23,,0,,.01640898,0,1358.0432,.2,.06666667,.20555556
286,.92877227,1,.89665651,.36750677,-.20018844,0,0,0,0,.015197569,.054711245,.17021276,.1793313,.11854103,.11854103,.10030395,.08510638,.088145897,.27321851,.087132722,0,0,822.1582,458.97778,954.50806,3623.071,1013.1237,1,1067,1,0,.93514544,.134344218171373,Untreated,On support,,,9,,0,,-.006373167,0,1358.0432,.2,.06666667,.20555556
