sch98v1,age_mean,male_prop,schid,pup_pop,zoneid,prs,t1,elg98,p1,mk96_s,Y98sap1,Y98sap2,Y98sap3,Y98sap4,Istd1,Istd2,Istd3,Istd4,Istd5,Istd6,Istd7,Istd8,Istd9,Isem1,Isem2,Isem3,pop1_3km_updated,pop2_3km_updated,pop1_36k_updated,pop2_36k_updated,popT_36k_updated,popT_3km_updated,wgrp,obs,treatment,control,matched_out,_pscore,_treated,_support,_weight,_prs,_id,_n1,_nn,_pdif,treat_effect,sap_any,pop_3km_pctile,incl_prob1,incl_prob1_alt,incl_prob2
213,NA,0.5537190082644629,213,542,2,0.93514544,0,0.86000001,0.67485297,0.020665873,0,0,0,0,0.0030769231,0.072307691,0.14923076,0.14615385,0.11846154,0.11692308,0.11538462,0.12153846,0.10923077,0.27008548,0.088376068,0,753.51373,0,802.62946,28.69697,1338.3622,972.88873,3,2097,0,1,0.71986973,0.2587777333596261,Treated,On support,1,0.7198697328567505,26,13,1,0.0068402451030061,-0.2152757,0,1164.6685,0.2,0.06666667,0.16470589
168,NA,0.41237113402061853,168,243,8,0.73839283,0,0.88983053,0.29013526,-0.074390106,0,0,0.77777779,0,0.055084746,0.22457626,0.14406779,0.072033897,0.11864407,0.093220338,0.10169491,0.072033897,0.050847456,0.43644068,0.09086629,0,323.33859,0,537.73303,1594.0566,2452.0225,993.18457,3,1120,0,1,0.96515149,0.7686200555808264,Treated,On support,1,0.9651514887809753,41,24,1,0.0035925424465089,0.22675866,1,1164.6685,0.2,0.06666667,0.89999998
218,NA,0.5283018867924528,218,95,4,0.92561984,0,0.85840708,0.79001158,0.098069862,0,0,0,0,0,0.11504425,0.21238938,0.14159292,0.17699115,0.088495575,0.07079646,0.10619469,0.03539823,0.26155359,0.095378563,0,0,527.54071,291.09409,235.77222,1117.2382,996.44067,3,363,0,1,0.67392617,0.9020328407542959,Treated,On support,1,0.6739261746406555,44,25,1,0.07521504486653,-0.25169367,0,1164.6685,0.2,0.06666667,0.16470589
294,13.041666666666666,0.5625,294,358,7,0.83806449,0,0.8945055,0.27367029,0.15437861,0,0,0,0,0,0.16703297,0.18241759,0.15824176,0.11648352,0.11208791,0.072527476,0.061538462,0.07692308,0.30158731,0.07692308,0,0,1128.0872,2485.9927,0,3920.011,1128.0872,3,1550,0,1,0.96020871,0.5019728719065019,Treated,On support,1,0.9602087140083313,32,18,1,0.0171688047625947,0.12214422,0,1164.6685,0.2,0.06666667,0.16470589
190,13.119402985074627,0.5522388059701493,190,360,6,0.66278315,0,0.88218391,0.50157988,-0.14901547,0,0,0,0.77777779,0.048850574,0.25,0.15229885,0.091954023,0.097701147,0.091954023,0.083333336,0.071839079,0.066091955,0.40006384,0.093231164,0,244.8,573.9278,2977.7476,1194.6323,5845.6494,1143.8719,3,1545,0,1,0.67392617,0.9943552807512689,Treated,On support,1,0.6739261746406555,50,25,1,0.167537484863503,0.011143029,1,1164.6685,0.2,0.06666667,0.89999998
212,NA,0.556,212,431,3,0.76563352,0,0.90778691,0.47822773,-0.46520594,0,0,0,0,0,0.051229507,0.19877049,0.16188525,0.11885246,0.096311472,0.10655738,0.10040984,0.11680328,0.33128417,0.087431692,0,399.0152,0,1451.2981,1580.359,3465.5059,1185.465,3,1839,0,1,0.61636829,0.547977844781271,Treated,On support,1,0.616368293762207,35,20,1,0.0017108558587996,-0.14926523,0,1164.6685,0.69999999,0.89999998,0.16470589
167,12.811926605504587,0.5229357798165137,167,675,1,0.56562793,0,0.89640886,0.38451245,0.086535275,0,0,0.77777779,0,0.096685082,0.16298343,0.17541436999999999,0.11464088,0.095303871,0.10359116,0.095303871,0.064917125,0.053867403,0.39640883,0.091160223,0,506.57889,505.7619,1486.8516,1484.3762,4324.7622,1471.0692,3,3177,0,1,0.67392617,0.8254940616107406,Treated,On support,1,0.6739261746406555,42,25,1,0.0013237342770254,0.10829824,1,1164.6685,0.69999999,0.89999998,0.89999998
189,12.84873949579832,0.5126050420168067,189,327,5,0.50842535,0,0.89603961,0.5080772,-0.54352164,0,0,0,0.77777779,0.23267327,0.14603961,0.13613862,0.10643564,0.076732673,0.081683166,0.054455444,0.064356439,0.056930695,0.38421342000000003,0.089108914,0,0,1281.519,1777.2396,708.61914,3988.2815,1498.1128,3,1721,0,1,0.67392617,0.915556962764838,Treated,On support,1,0.6739261746406555,45,25,1,0.0887391668770721,0.16550082,1,1164.6685,0.69999999,0.89999998,0.89999998
270,12.598639455782314,0.48299319727891155,270,254,8,0.96292484,0,0.8652482,0.28599977,0.28836349,0,0,0,0,0,0.05319149,0.20212767,0.17375886,0.11347517,0.12056737,0.10283688,0.10638298,0.08510638,0.28999212,0.09259259,0,546.2547,736.09760000000006,448.39642,857.95905,2076.6614,1498.7896,3,971,0,1,0.67392617,0.9473565008627471,Treated,On support,1,0.6739261746406555,47,25,1,0.1205387049749812,-0.28899866,0,1164.6685,0.69999999,0.89999998,0.16470589
202,12.891304347826088,0.5217391304347826,202,311,3,0.80611485,0,0.8984375,0.49298319,-0.5011856,0,0,0,0,0,0.10677084,0.18229167,0.15104167,0.13541667,0.1328125,0.091145836,0.088541664,0.065104164,0.3052662,0.082754627,0,0,1236.042,1443.9287,1177.9895,3719.3259,1627.2982,3,1341,0,1,0.93075359,0.4708246405758103,Treated,On support,1,0.9307535886764526,31,17,1,0.0127508637065908,0.12463874,0,1164.6685,0.69999999,0.89999998,0.16470589
